dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
b'',b' ',107532000,9585,7158,15923.074261666668,16.0,1,0.2438,1.0,6720750.0,-1.0,6753.2185200488175,한식
고아읍,고아읍,92545332000,2644622,2441340,10427.453303875,112.0,1,0.2962,0.5889988916829633,826297607.1428572,0.0379821518812173,8875161.489872964,한식
공단동,공단동,17230798000,749479,558771,4909.7810930000005,51.0,1,0.1529,0.770055267033281,337858784.3137255,-0.092163817851825,3509483.961426791,한식
광평동,광평동,2007399000,56758,50842,2455.81240025,38.0,1,0.1162,0.6857817127079985,52826289.47368421,0.7408206901071533,817407.3067615622,한식
도개면,도개면,38628316000,3893174,2113027,959.7403305083334,13.0,1,0.2333,0.9231058348372948,2971408923.076923,0.6645819065966418,40248716.00377598,한식
도량동,도량동,43237346000,1010276,926730,15006.15911625,66.0,1,0.2651,0.633054080173554,655111303.030303,-0.0048679779696956,2881306.646494156,한식
무을면,무을면,2267211000,59333,52315,813.46340425,10.0,1,0.0693,0.6689158586768785,226721100.0,0.0119686350236319,2787108.7846789267,한식
비산동,비산동,19753578000,720070,629488,5397.620741666667,57.0,1,0.1368,0.6382106070390211,346554000.0,0.0498091221048836,3659682.468520478,한식
산동읍,산동읍,95800090000,2748807,2248181,7843.762968958334,121.0,1,0.303,0.6881097632262748,791736280.9917356,0.1127464542336653,12213537.096815463,한식
상모사곡동,상모사곡동,96034302000,2616833,2342510,16036.0337275,111.0,1,0.3713,0.6751946001975954,865173891.8918918,-0.0610335393260831,5988656.77335861,한식
선산읍,선산읍,69966000000,2223234,2027454,5418.59984525,114.0,1,0.2209,0.6277973712142862,613736842.1052631,0.0838116019396251,12912191.709696539,한식
선주원남동,선주원남동,210900164000,5830030,5145020,23355.1182575,107.0,1,0.6471,0.6701810023055911,1971029570.093458,0.1975141476715647,9030147.553728353,한식
송정동,송정동,79894104000,1902209,1678394,11153.684302375,97.0,1,0.2979,0.6609800594726383,823650556.701031,0.0157443013995772,7163023.610322897,한식
신평1동,신평1동,36510914000,1148756,1013649,3603.8130665833337,51.0,1,0.1511,0.6480644489138917,715900274.5098039,0.0199526045007467,10131189.749698892,한식
신평2동,신평2동,2863685000,93841,83053,714.2547674958333,6.0,1,0.0706,0.640863521240914,477280833.3333333,0.1670827509540677,4009332.7063675574,한식
양포동,양포동,115421552000,3837134,3193318,25957.22364333333,120.0,1,0.502,0.6856734837538769,961846266.6666666,-0.0147077184914038,4446606.215901832,한식
옥성면,옥성면,44460382000,5595731,3305511,759.8854336708333,7.0,1,0.2466,0.9683564119395628,6351483142.857142,0.0036222619538294,58509322.62936273,한식
원평동,원평동,105203517000,3881349,3311554,7439.65179575,174.0,1,0.2999,0.7014349112634343,604617913.7931035,-0.3091174690276276,14140919.479605068,한식
인동동,인동동,124569463000,3805109,3274044,27188.273249583333,285.0,1,0.5269,0.6985142542037831,437085835.0877193,-0.0561171302073038,4581734.994954454,한식
임오동,임오동,28503955000,930675,819197,8149.605948583333,26.0,1,0.2,0.7216912020859079,1096305961.5384614,0.0145627019495575,3497586.8992727087,한식
장천면,장천면,11550335000,287773,213715,1363.1827838333334,24.0,1,0.1121,0.7647379006169671,481263958.3333333,-0.0310127801463656,8473064.02118718,한식
지산동,지산동,7055112000,148007,134420,1753.8536213333334,23.0,1,0.0834,0.6285029499848305,306744000.0,0.1656740434503137,4022634.4514637925,한식
진미동,진미동,96808237000,2733299,2282742,15923.074261666668,18.0,1,0.4113,0.711846984622796,5378235388.888889,0.0123658715324304,6079745.368836023,한식
해평면,해평면,13895345000,394869,335999,1731.500654875,14.0,1,0.1062,0.6662247654752176,992524642.8571428,0.130409891725123,8025030.1730339965,한식
형곡1동,형곡1동,26440910000,944046,863843,7787.470175750001,69.0,1,0.1658,0.6246703848466909,383201594.20289856,0.0064976718522424,3395314.4478596365,한식
형곡2동,형곡2동,46512348000,1234945,1132064,8328.659252291667,15.0,1,0.2229,0.625634399054854,3100823200.0,0.0393381671085521,5584614.112673889,한식
