dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,20593117000,1777232,1593567,10427.453303875,8.0,1,0.197,0.5918901458411792,2574139625.0,0.2534285721476585,1974894.1951480412,카페_합본
공단동,공단동,2510474000,351308,282787,4909.7810930000005,1.0,1,0.1392,0.731782251399967,2510474000.0,0.0568096630500414,511320.96369413426,카페_합본
광평동,광평동,614646000,108332,81725,2455.81240025,4.0,1,0.1078,0.7013081036969506,153661500.0,0.4816935301527827,250282.14693330383,카페_합본
도개면,도개면,551585000,81172,65328,959.7403305083334,0.0,1,0.0855,0.7179754083141144,1103170000.0,0.0298188348464162,574723.1646583498,카페_합본
도량동,도량동,6111914000,699209,637829,15006.15911625,11.0,1,0.2014,0.5828105437806796,555628545.4545455,0.2547488918852614,407293.6953854819,카페_합본
무을면,무을면,21429000,1614,1295,813.46340425,0.0,1,0.0946,0.800970109515875,42858000.0,0.0,26342.918302215683,카페_합본
비산동,비산동,3862749000,512141,461700,5397.620741666667,3.0,1,0.1042,0.600661367279257,1287583000.0,-0.0361473041154615,715639.2019509077,카페_합본
산동읍,산동읍,15967897000,1693389,1427247,7843.762968958334,9.0,1,0.1782,0.6417588467273921,1774210777.7777777,0.4228308673192633,2035744.4587748125,카페_합본
상모사곡동,상모사곡동,13860682000,1552198,1365776,16036.0337275,11.0,1,0.2363,0.6464672322019052,1260062000.0,0.0784381350939307,864346.0244306223,카페_합본
선산읍,선산읍,9620855000,967260,859786,5418.59984525,1.0,1,0.1718,0.6068057492560286,9620855000.0,0.0631010499436235,1775524.171328824,카페_합본
선주원남동,선주원남동,30711654000,2684149,2297821,23355.1182575,7.0,1,0.3612,0.6585998199667832,4387379142.857142,0.2135615036041053,1314986.019826194,카페_합본
송정동,송정동,10981081000,1274422,1092507,11153.684302375,9.0,1,0.1797,0.6299597838869608,1220120111.1111112,0.0394104195441716,984524.9966113665,카페_합본
신평1동,신평1동,4873123000,517730,436308,3603.8130665833337,2.0,1,0.1097,0.6468420719395921,2436561500.0,0.0346091941305532,1352213.0337964674,카페_합본
신평2동,신평2동,140836000,10358,9161,714.2547674958333,3.0,1,0.0638,0.6577370847254052,46945333.333333336,0.0794660918097656,197178.94287743984,카페_합본
양포동,양포동,19148498000,2312145,1995634,25957.22364333333,13.0,1,0.3278,0.6210609247253985,1472961384.6153846,-0.081815820440672,737694.3799194782,카페_합본
옥성면,옥성면,35871000,2509,1960,759.8854336708333,0.0,1,0.0337,0.7106341735153627,71742000.0,-1.0,47205.80025690896,카페_합본
원평동,원평동,14677222000,1671459,1434637,7439.65179575,16.0,1,0.1493,0.6743515884241807,917326375.0,-0.2113347284638306,1972837.224503512,카페_합본
인동동,인동동,19603076000,2491110,2126446,27188.273249583333,22.0,1,0.3478,0.6473752222737662,891048909.0909091,0.0481081532317052,721012.1738900951,카페_합본
임오동,임오동,3896726000,409488,352064,8149.605948583333,3.0,1,0.165,0.7133124349768526,1298908666.6666667,0.1789638318014649,478149.0080115319,카페_합본
장천면,장천면,306987000,21517,16041,1363.1827838333334,0.0,1,0.1012,0.7169389068370169,613974000.0,0.4236900071845319,225198.70676237435,카페_합본
지산동,지산동,1816622000,135168,115095,1753.8536213333334,0.0,1,0.0985,0.6797798745947731,3633244000.0,-0.0614199931916819,1035788.835455349,카페_합본
진미동,진미동,11917950000,1260114,1056985,15923.074261666668,0.0,1,0.3735,0.6682308555834404,23835900000.0,-0.0633167116091308,748470.4149556952,카페_합본
해평면,해평면,239131000,15668,13670,1731.500654875,0.0,1,0.0766,0.6352321815674852,478262000.0,0.218839598044037,138106.21400964083,카페_합본
형곡1동,형곡1동,8488688000,935479,821861,7787.470175750001,5.0,1,0.1448,0.6279991771314403,1697737600.0,-0.0010921516494245,1090044.3672238484,카페_합본
형곡2동,형곡2동,7054862000,622255,558928,8328.659252291667,0.0,1,0.2227,0.6062188394126973,14109724000.0,0.0534411602649762,847058.5464351688,카페_합본
