dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,6913303000,123018,114922,10427.453303875,10.0,1,0.1492,0.5988741334044042,691330300.0,-0.1210889216235167,662990.5499007042,일식
공단동,공단동,285099000,3314,2884,4909.7810930000005,1.0,1,0.0913,0.7291785555880597,285099000.0,-0.687274669515289,58067.558328918756,일식
광평동,광평동,233954000,344,336,2455.81240025,0.0,1,0.0856,0.6321693321300488,467908000.0,0.2922059471905158,95265.4201013822,일식
도량동,도량동,1146899000,25178,22904,15006.15911625,5.0,1,0.2517,0.6051979648003765,229379800.0,1.6484429924320747,76428.55117789841,일식
비산동,비산동,257293000,3652,3262,5397.620741666667,0.0,1,0.1371,0.6554111341502842,514586000.0,0.7455129436370233,47667.8544703668,일식
산동읍,산동읍,2044818000,50761,43303,7843.762968958334,9.0,1,0.1816,0.6783215055833774,227202000.0,1.1212210021155975,260693.4972528314,일식
상모사곡동,상모사곡동,12133817000,214985,195698,16036.0337275,15.0,1,0.2531,0.7326298973326303,808921133.3333334,0.1436134936268318,756659.4836472478,일식
선산읍,선산읍,2886098000,42740,40443,5418.59984525,2.0,1,0.1056,0.6043174999032914,1443049000.0,-0.0108195062643962,532628.0002997422,일식
선주원남동,선주원남동,7122783000,138466,120312,23355.1182575,7.0,1,0.3247,0.6737920672907262,1017540428.5714284,0.7254768486206516,304977.38960121386,일식
송정동,송정동,9466083000,113439,101164,11153.684302375,16.0,1,0.1856,0.688112862751404,591630187.5,0.0100717172690954,848695.6187189508,일식
신평1동,신평1동,2750872000,38241,34805,3603.8130665833337,3.0,1,0.0959,0.668376377101536,916957333.3333334,-0.10881651504183,763322.6111275573,일식
신평2동,신평2동,511946000,9300,6521,714.2547674958333,1.0,1,0.0748,0.6349041323826066,511946000.0,0.4002119160587364,716755.4537925944,일식
양포동,양포동,4975761000,94110,82603,25957.22364333333,4.0,1,0.3142,0.6732681546142865,1243940250.0,-0.1002048792258726,191690.80131102307,일식
원평동,원평동,5508858000,144520,125387,7439.65179575,17.0,1,0.1317,0.7145864081899754,324050470.5882353,-0.4110256720144381,740472.5585607392,일식
인동동,인동동,2829098000,46996,40467,27188.273249583333,22.0,1,0.338,0.7127980387833447,128595363.63636364,0.24205066431031,104055.81752211339,일식
임오동,임오동,88302000,3480,2910,8149.605948583333,2.0,1,0.1116,0.6993094626138161,44151000.0,-0.727563548331316,10835.125103852384,일식
지산동,지산동,138345000,8500,7412,1753.8536213333334,1.0,1,0.0773,0.655862863218395,138345000.0,0.1671261631003477,78880.58519662883,일식
진미동,진미동,4553935000,63172,51652,15923.074261666668,0.0,1,0.2921,0.7335658649028977,9107870000.0,0.1484565002115934,285995.96567625,일식
형곡1동,형곡1동,2956195000,65413,60569,7787.470175750001,3.0,1,0.1192,0.60771592765128,985398333.3333334,-0.1813525882333399,379609.15846657386,일식
형곡2동,형곡2동,2062162000,28414,26680,8328.659252291667,2.0,1,0.1394,0.6361262636284989,1031081000.0,0.062904645672442,247598.31535100768,일식
